"Reference","Qty","Value","Footprint","Description"
"C1,C3,C6,C9,C15","5","4u7F","DA-Footprint-Library:C_0402","SMD/SMT 4.7uF+/-10% 10V X5R 0603"
"C2","1","1uF","DA-Footprint-Library:C_0402","SMD/SMT 1 uF 16 VDC 10% 0402 X6S"
"C4,C5,C7,C8,C12,C14,C16","7","100nF","DA-Footprint-Library:C_0402","SMD/SMT 0.1 uF 25 VDC 10% 0402 X7R"
"C10,C11","2","22uF","DA-Footprint-Library:C_0402","SMD/SMT 22UF 6.3V 20% 0402"
"C13","1","10uF","DA-Footprint-Library:C_0402","SMD/SMT 10 uF 10 VDC 20% 0402 X5R"
"CON1","1","10114831-10104LF","DA-Footprint-Library:CON-10114831-10104LF","Headers & Wire Housings Wire-to-board,1.25mm Wafer,T/H,R/A,4P,Ti"
"D1,D2","2","IR LED","DA-Footprint-Library:LED_0603","Infrared (IR) Emitter 940nm 1.2V 50mA 2mW/sr @ 20mA 120° 0603 (1608 Metric)"
"FB1","1","1.8 kOhms @ 100 MHz","DA-Footprint-Library:FB-0402","1.8 kOhms @ 100 MHz 1 Signal Line Ferrite Bead 0402 (1005 Metric) 250mA 900mOhm"
"Q1","1","DMG2301L-7","DA-Footprint-Library:SOT-23","MOSFET P-CH 20V 3A SOT23"
"R1,R3","2","100k","DA-Footprint-Library:R_0402","SMD 100 kOhms 62.5mW 0402 5%,Thick Film Resistors - SMD 100 kOhms 62.5mW 0402 5%"
"R2","1","0R","DA-Footprint-Library:R_0402","Thick Film Resistors - SMD 0 Ohms 62.5mW 0402 1%"
"R4,R5","2","4k7","DA-Footprint-Library:R_0402","SMD 1/16watt 4.7Kohms 1%"
"R6","1","1K","DA-Footprint-Library:R_0402","SMD 1 kOhms 62.5mW 0402 5%"
"R7,R11,R12,R13","4","10K","DA-Footprint-Library:R_0402","SMD 10 kOhms 62.5mW 0402 5%"
"R9,R10","2","62 R","DA-Footprint-Library:R_0402","SMD 0402 1% 62ohm Anti-Sulfur AEC-Q200"
"U1","1","LP5907MFX-1.8/NOPB","DA-Footprint-Library:SOT-23-5","250-mA, low-noise, high-PSRR, ultra-low-dropout voltage regulator with low IQ and enable"
"U2","1","STM32G030F6P6","DA-Footprint-Library:TSSOP-20","RM® Cortex®-M0+ STM32G0 Microcontroller IC 32-Bit Single-Core 64MHz 32KB (32K x 8) FLASH 20-TSSOP"
"U3","1","VL53L1XV0FY","DA-Footprint-Library:LGA-12L- VL53L1x","Sensor Interface Time-of-Flight (ToF) long-distance sensor adv. multizone multiobject detection"
"U4","1","PAW3903","DA-Footprint-Library:LGA-28-PAW3903","Optical Motion Tracking Chip"
