Ref,Val,Package,PosX,PosY,Rot,Side
C1,4u7F,C_0402,6.3875,4.35,-90,bottom
C2,1uF,C_0402,6.9875,1.67,0,bottom
C3,4u7F,C_0402,14.3875,2.4,-90,bottom
C4,100nF,C_0402,13.2375,2.4,-90,bottom
C5,100nF,C_0402,10.4875,15.2,90,bottom
C6,4u7F,C_0402,8.5875,16.1,0,bottom
C7,100nF,C_0402,8.5875,15,180,bottom
C8,100nF,C_0402,15.0875,7,-90,bottom
C9,4u7F,C_0402,16.1875,7,-90,bottom
C10,22uF,C_0402,2.5875,13.4,90,bottom
C11,22uF,C_0402,3.6875,13.4,90,bottom
C12,100nF,C_0402,4.7875,13.4,90,bottom
C13,10uF,C_0402,4.2875,10.2,180,bottom
C14,100nF,C_0402,4.2875,11.3,0,bottom
C15,4u7F,C_0402,4.7875,8.6,90,bottom
C16,100nF,C_0402,3.6875,8.6,90,bottom
CON1,10114831-10104LF,CON-10114831-10104LF,2.37,4.145,90,bottom
FB1,1.8 kOhms @ 100 MHz,FB-0402,6.9875,2.77,0,bottom
H4,Mounting-Alignment-1mm,1mm-Alignment,4.6075,15.42,180,bottom
Q1,DMG2301L-7,SOT-23,15.7075,17.33,90,bottom
R1,100k,R_0402,7.4875,4.4,-90,bottom
R2,0R,R_0402,12.2875,5.1,0,bottom
R3,100k,R_0402,16.2875,14.5,90,bottom
R4,4k7,R_0402,17.2875,10.1,-90,bottom
R5,4k7,R_0402,17.2875,8,90,bottom
R6,1K,R_0402,15.1875,14.5,90,bottom
R7,10K,R_0402,15.1875,10,-90,bottom
R9,62 R,R_0402,10.1875,5.1,180,bottom
R10,62 R,R_0402,11.7775,15.2,90,bottom
R11,10K,R_0402,15.6875,11.7,180,bottom
R12,10K,R_0402,17.7875,11.7,180,bottom
R13,10K,R_0402,7.0875,15.5,-90,bottom
U1,LP5907MFX-1.8/NOPB,SOT-23-5,10.3875,2.8,0,bottom
U2,STM32G030F6P6,TSSOP-20,9.9875,10,-90,bottom
D1,IR LED,LED_0603,10.0075,5.07,180,top
D2,IR LED,LED_0603,10.0075,14.22,180,top
H3,Mounting-Alignment-1mm,1mm-Alignment,15.1875,4.8,0,top
J1,TC2050-IDC-NL,TAG-CONNECT_TC2050-IDC-NL,11.7975,16.56,90,top
U3,VL53L1XV0FY,LGA-12L- VL53L1x,16.5075,10.02,180,top
U4,PAW3903,LGA-28-PAW3903,10.25,9.64,0,top
